dc.contributor.advisor,dc.contributor.author,dc.date.issued,dc.description.abstract[es_PE],dc.publisher[es_PE],dc.source[es_PE],thesis.degree.name[es_PE]
"Chue Gallardo, Jorge","Fernández Vásquez, Richard Fernando",2018,"En la actualidad las entidades bancarias conviven con clientes que no cumplen con sus obligaciones crediticias y se exceden del plazo estipulado acordado con el banco, a estos clientes se les denomina clientes morosos, por tal motivo el objetivo del presente trabajo es determinar el modelo de regresión binaria bayesiano con enlace asimétrico más adecuado para clasificar a los clientes que incumplirán sus pagos de sus tarjetas de crédito según sus probabilidades de mora en la entidad bancaria UNIBANK y haciendo uso de las variables más significativas. Se realizó un análisis comparativo entre los modelos de regresión bayesiana con enlaces asimétricos cloglog, power logit y scobit, y se determinó que el modelo de regresión binaria bayesiano con enlace asimétrico cloglog fue el más adecuado para clasificar a los clientes que incumplen sus obligaciones crediticias con sus tarjetas de crédito en la entidad bancaria UNIBANK según su probabilidad de mora, pues este modelo presentó un valor mucho mayor de sensibilidad que los modelos power logit y scobit, siendo las diferencias 8.5% y 9.1%, respectivamente",Universidad Nacional Agraria La Molina,Repositorio institucional - UNALM||Universidad Nacional Agraria La Molina,Magister Scientiae - Estadística Aplicada
"Miranda Villagomez, Clodomiro Fernando","Rubio Donet, Jorge Luis",2018,"La presencia de observaciones atípicas en un conjunto de datos es una de las causas que generan distorsiones en el análisis. La detección de dichas observaciones puede ayudar a una correcta evaluación de las tendencias en el comportamiento de los datos. Para el caso de datos multivariados se han desarrollado diversos métodos que permiten la detección de comportamientos atípicos, basados en métodos gráficos, y otros asumiendo una distribución normal multivariada. No obstante, en muchos casos el supuesto de normalidad multivariada no se cumple. El presente trabajo propone una prueba no paramétrica basada en la aplicación del método Bootstrap, utilizando como indicador de similitud a las distancias entre las representaciones obtenidas con series finitas de Fourier, propuesta por Andrews. El método propuesto permite detectar datos multivariados atípicos, combinando la significación estadística de la prueba Bootstrap y el análisis gráfico sugerido por Andrews, y que puede ser también aplicado a datos medidos en una escala ordinal. El método fue aplicado a cuatro conjuntos de datos, encontrando resultados satisfactorios en todos los casos.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Magister Scientiae - Estadística Aplicada
,"Neira Campos, Mike Alex",2017,"Este trabajo monográfico gira en torno a las series de tiempo con Redes Neuronales Artificiales a fin de realizar pronósticos. Para este propósito, el presente trabajo se compone de 4 capítulos, donde el primer capítulo versa sobre las definiciones y conceptos principales del pronóstico de una serie temporal que otorga validez teórica a la investigación. En el segundo capítulo, el lector podrá encontrar la descripción de las Redes Neuronales Artificiales en la predicción de datos. El tercer capítulo, da cuenta de las implicaciones de una metodología del pronóstico de datos, utilizando las Redes Neuronales Artificiales. Finalmente, el capitulo 4, dilucida la aplicabilidad de las mencionadas Redes y se hace un paralelo con otros métodos de pronóstico con el objeto de resaltar sus diferencias y características. En conclusión, podemos decir que el lector podrá encontrar en este trabajo las etapas necesarias para llevar a cabo la elaboración de una red neuronal que pueda predecir valores futuros de una serie de tiempo.",Universidad Nacional Agraria La Molina,Repositorio institucional - UNALM||Universidad Nacional Agraria La Molina,Ingeniero Estadístico e Informático
,"Flores Espinoza, María del Carmen",2014,"El presente trabajo tiene como propósito esencial, realizar una segmentación psicográfica, en base a valores y estilos de vida, así como las actitudes frente a la tecnología de los habitantes de Lima Metropolitana y Callao de los niveles socioeconómicos A, B, C y D, entre 15 y 69 años de edad. Se utilizó una muestra de 906 casos, a los cuales se le aplicó un cuestionario estructurado que contenía 35 atributos previamente definidos en base a una investigación cualitativa, y otras preguntas de control, tal como edad, nivel socioeconómico y tenencia de productos tecnológicos en el hogar. Del total de 35 atributos evaluados los cuales se redujeron en 8 factores tras realizar un análisis factorial. Seguidamente se realizó un análisis clúster, donde se identificaron 5 segmentos caracterizados por los atributos previamente mencionados: Aquellos que se encuentran Orientados a la tecnología; los que, a pesar de tener productos tecnológicos prefieren estar esconectados; los que se encuentran Orientados al poder, los que tienden a ser Tradicionales por sus actitudes frente a las costumbres, y aquellos Orientados a los valores que tienen como eje virtudes tales como la solidaridad, sencillez, etc.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Ingeniero Estadístico e Informático
,"Acosta Pizarro, Diana Rosa",2014,"El presente estudio tiene como objetivo principal identificar el perfil de los clientes del departamento de Lima que aceptan una tarjeta de crédito de una entidad financiera cuando el productoes ofrecido por el canal de ventas Call Center. Se utilizó la técnica de Árboles de Clasificación CHAID Exhaustivo el cual proporciona buenos resultados de clasificación correcta de los clientes que aceptan una tarjeta de crédito vía Call Center. Se consideró una muestra en un período de cinco meses (Diciembre 2013 a Abril 2014) logrando identificar que las variables más significativas que aportan en el modelo son la edad, el ingreso neto mensual y el tipo de tarjeta que se le ofrece al cliente. Estas variables presentan importancia relevante en el cliente para tomar la decisión de aceptar una tarjeta de crédito. Los resultados obtenidos mediante el algoritmo CHAID Exhaustivopermitieron identificar los patrones que definen el perfil de los clientes que aceptan una tarjeta de crédito vía Call center con el fin de ser más efectivos, aumentando el número de ventas, reduciendo el número de llamadas, minimizando costos y tiempo",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Ingeniero Estadístico e Informático
"López de Castilla Vásquez, Carlos","Mendoza  Quevedo, Diego Alonso",2013,"La presente investigación tiene por objetivo principal determinar si las distribuciones asimétricas skew-normal y skew-tson buenos modelos para describir datos relativos al coste de los siniestros. Para lo cual se analizaron dos conjuntos de datos de una compañía de seguros, ajustando las distribuciones en estudio y las tradicionales a estos datos. Luego se compararon las distribuciones empleando el Criterio de Información de Akaike (AIC) y del Logaritmo de la función de Verosimilitud, complementados con la prueba de bondad de ajuste Kolmogorov-Smirnov,obteniendo resultados positivos. Además, se calcularon medidas de riesgo como el Valor en Riesgo (VaR) y el Valor en Riesgo Condicional (TVaR), que brindaron mayor solidez a los resultados previos: los costes de los siniestros en los seguros se ajustan bien a las distribuciones asimétricas skew-normal y skew-t.",Universidad Nacional Agraria La Molina,Repositorio institucional - UNALM||Universidad Nacional Agraria La Molina,Ingeniero Estadístico e Informático
"Soto Rodríguez, Iván Dennys","Cormán Trujillo, Juan",2020,"La entidad pública brinda servicios de capacitación para el Sector Vivienda, Construcción y Saneamiento, inicia su vida institucional en el año 1977. Tiene como finalidad la formación de los trabajadores del sector construcción, la educación superior no universitaria, el desarrollo de investigaciones vinculadas a la problemática de la vivienda y edificación, así como la propuesta de normas técnicas de aplicación nacional. Y se ha establecido en doce sedes a nivel nacional y capacita a más de 30,000 trabajadores en el desarrollo de nuevas tecnologías. La entidad según su estructura organizacional se encuentra conformado por: Consejo Directivo, Gerencia General, Oficina de Administración y Finanzas, Oficina de Planificación y Presupuesto, Gerencia de Formación profesional y Gerencia de Investigación y Normalización; cabe señalar que el Departamento de Informática forma parte de la Oficina de Administración y Finanzas, en la cual se desempeñó el cargo.",Universidad Nacional Agraria La Molina,,Ingeniero Estadístico e Informático
,"Montaño Miranda, Beatriz del Carmen Lidia",2013,"El presente estudio tuvo como objetivo principal verificar la disponibilidad de productos en el almacén de un Supermercado, así las decisiones a tomar ante la falta de productos serían más certeras y se tendría un mejor panorama al respecto de la situación del abastecimiento del Supermercado. El trabajo consiste en un modelo de predicción de quiebres de stock para un supermercado. Se analizaron las ventas en unidades, el stock de los productos, los despachos de proveedores, los días del mes de Agosto (con ventas y sin ellas) de un grupo de productos de diferentes gerencias del supermercado (Abarrotes Comestibles, Abarrotes no Comestibles y Bebidas). Con la información recopilada se consideró el valor de la variable dependiente (en quiebre con valor 1 y O en caso contrario). La selección de variables por Boruta permitió obtener un modelo con menos cantidad de variables y con un mejor ajuste al realizar el análisis usando la regresión logística en comparación con la selección de variables por Stepwise.",Universidad Nacional Agraria La Molina,,Ingeniero Estadístico e Informático
"Rino Sotomayor, Ruíz","Hurtado Oliva, Katherine Vanessa",2015,"El presente trabajo tiene como objetivo estimar el modelo Vector Autorregresivo (VAR) que permita describir simultáneamente el comportamiento de la morosidad de cartera, el Producto Bruto Interno y la tasa de interés de las empresas financieras peruanas del crédito de consumo durante el período de octubre 2002 – marzo 2014. Así mismo, evaluar a través del análisis de impulso – respuesta y la descomposición de varianza, el impacto de cada una de las variables sobre otra y su contribución a la desviación típica del error. Al realizar el análisis exploratorio de las variables involucradas, se encontró que tanto el porcentaje de morosidad como la tasa de interés muestran una tendencia creciente desde el 2011 en adelante. Finalmente, el modelo Vector Autorregresivo (VAR) que mejor se ajusta, es aquel que considera las primeras diferencias finitas de cada una de las variables bajo cuatro números de rezagos.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio Institucional - UNALM,Ingeniero Estadístico e Informático
"Porras Cerrón, Jaime Carlos","Tang Bedoya, Felix Augusto||Vargas Cuyan, Cecilia",2016,"El aumento continuo de grandes volúmenes de datos y la importancia de la utilización de éstos, junto con la búsqueda de satisfacción de los clientes se han vuelto un gran reto que las grandes empresas hoy en día quieren superar. En la actualidad las empresas conocen la importancia que tiene el almacenamiento, la captura de datos y el beneficio que le puede resultar si se explotan correctamente. Este estudio presenta una técnica estadística para segmentar clientes de una tienda de retail en el Perú. El conjunto de datos está conformado por clientes (personas naturales) que han adquirido un artículo para su hogar mediante un crédito en el primer trimestre del año 2013 de una tienda de retail. El conjunto de datos inicial estaba compuesto por 6284 clientes. Luego de proceder con el análisis exploratorio y la limpieza de datos, correspondiente a la eliminación de datos outliers y faltantes; se trabajó un conjunto de datos compuesto por 4980 clientes. Se aplicó análisis de conglomerados bietápico, que es una técnica de segmentación que permite trabajar con variables cuantitativas y categóricas. El resultado de la aplicación de la técnica brindó 3 conglomerados: el primero con 1817 clientes (36.5%), el segundo conglomerado con 1390 clientes (27.9%) y  el tercer conglomerado con 1773 clientes (35.6%). Después de esto se procedió a describir los perfiles de cada conglomerado y se propusieron estrategias de marketing mix para cada uno de ellos, con el objetivo de fidelizar al cliente, aumentar las ventas y el posicionamiento de la tienda de retail.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Ingeniero Estadístico e Informático
"López de Castilla Vásquez, Carlos","Quispe Quispe, Braulio",2016,"La presente tesis plantea una aplicación de los modelos estadísticos de procesos puntuales espaciales Poisson así como de los modelos Clúster del tipo Neyman - Scott. Particularmente, se enfoca en evaluar la distribución espacial de hechos delictivos y su relación con algunas covariables espaciales. De esta forma se permitirá orientar y/o establecer políticas referidas a seguridad ciudadana de índole nacional y/o local. El área de estudio corresponde a los distritos de Lima Centro y Residencial, para lo cual se toma en cuenta la información de ubicaciones georreferenciadas de los hechos delictivos reportados por las víctimas a finales del año 2013 hasta inicios del 2014. Las ubicaciones de los delitos son representadas por puntos, y el conjunto de estos se consideran un patrón puntual, el cual representa una realización de un proceso puntual espacial subyacente en el espacio de estudio. El modelamiento estadístico se realiza a través de la intensidad de puntos, la cual puede ser estimada para cualquier ubicación específica del área de estudio y son los modelos log-lineales los más usados para representar su relación con un conjunto de covariables espaciales cuyos efectos podemos representar en un conjunto de parámetros; a estos modelos se les conocen como modelos paramétricos de procesos puntuales espaciales. Las estadísticas de resumen, conocidas también como propiedades de primer y segundo orden de un proceso puntual así como los métodos basados en distancia entre puntos, han sido aplicados con fines de realizar el análisis exploratorio y determinar: el tipo de distribución espacial (regular, aleatorio o clústeres) que siguen los hechos delictivos (patrón puntual), la distribución de la distancia de un punto arbitrario a un lugar de ocurrencia de un delito y de la distancia de un hecho delictivo a otro, entre otras. Finalmente, se concluye que la distribución espacial de los hechos delictivos en Lima, no es homogénea, existiendo clustering o agregación de puntos, los cuales se traducen en zonas con mayor incidencia de hechos delictivos y su intensidad guarda relación con la ubicación de los límites distritales, la inversión destinada al orden interno y la densidad poblacional.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Magister Scientiae - Estadística Aplicada
"Maehara Oyata, Víctor Manuel","Rebaza Fernández, Diana del Rocío",2017,"La recurrencia de un evento en un paciente es la frecuencia observada de este en un periodo de tiempo durante el seguimiento al individuo, por ejemplo hospitalizaciones sucesivas de neumonía, episodios de epilepsia, recaídas de cáncer, entre otros. Los modelos de eventos recurrentes son muy útiles para la aplicación en estos fenómenos, y la presente investigación pretende ilustrar y comparar modelos particulares de datos de eventos recurrentes sin efecto aleatorio: Andersen y Gill (A-D); Wei, Lin y Weissfeld (WLW); y, Prentice, Williams  y Peterson (PWP), los cuales son modelos basados en la extensión de Cox de riesgos proporcionales, en estos modelos se asumen independencia de eventos. Otro modelo estudiado es el modelo de Fragilidad Compartida Gamma para eventos recurrentes que considera un término de fragilidad y asume que este término influye en la recurrencia de los eventos de un mismo sujeto. Para la estimación de los parámetros en los modelos sin efecto aleatorio se utilizó el método de máxima verosimilitud parcial mientras que para el modelo de fragilidad  fue el método de máxima verosimilitud penalizado, el cual penaliza la función de riesgo base. Los datos usados para la aplicación de estas metodologías fue proporcionada por el médico Ginecólogo Oncólogo Dr. Vladimir Villoslada Terrones del Instituto Nacional de Enfermedades Neoplásicas (INEN). Estos datos describen un conjunto de variables relacionados al cáncer de mama en una cohorte prospectiva de 68 pacientes con diagnóstico positivo, sometidos a una cirugía mastectomía. Al procesar y analizar los resultados obtenidos, se encontró que el modelo Andersen y Gill (A-D) y Prentice, Williams y Peterson (PWP) son los que ajustan mejor a este conjunto de datos. Entre los resultados encontrados se obtuvo que los factores asociados al riesgo de recurrencia de cáncer de mama son la edad de inicio al estudio, la edad de primera menstruación (menarquia) y tipo carcinoma lobulillar. Estos modelos presentan similares resultados debido a la significancia estadística en las variables y el cumplimiento del supuesto de riesgos proporcionales.",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Magister Scientiae - Estadística Aplicada
"Menacho Chiok, César Higinio","Cano Alva Trinidad, Jesús María",2018,"Las instituciones de educación superior, cada vez más están implementando en sus diversos cursos evaluaciones virtuales vía web, con la finalidad de automatizar y medir con mayor precisión los conocimientos que van adquiriendo los estudiantes. La presente investigación, tiene como objetivo realizar un estudio comparativo de la Teoría Clásica del Test y la Teoría de Respuesta al Ítem, que pueden ser aplicados a los test informatizados con la finalidad de evaluar y medir las propiedades psicométricas y estadísticas, enfocando la confiabilidad y validez de los test de evaluación. Como caso de estudio, se usó un test informatizado de 30 preguntas (ítems) que se aplicó virtualmente a 775 estudiantes de una institución de educación superior matriculados en un curso de Estadística básica en el semestre 2016 II. El análisis de la confiabilidad, resultó con un alfa de Cronbach de 0.8325 pudiendo indicar una confiabilidad buena para la prueba informatizada, también fue corroborada con una correlación de Spearman-Brown de 0.815. El análisis con la TCT, el índice de dificultad identificó tres preguntas muy fáciles (V7, V8 y V12) que fueron retiradas, mientras el índice de discriminación no encontró ninguna pregunta con problemas. El supuesto de la unidimensionalidad de la prueba usando el análisis factorial fue probado con una variancia explicada del primer factor de 24.7%. El modelo logístico binario de la TRI que mejor se ajustó a los datos de la prueba fue el de tres parámetros (3PL). El proceso de calibración con el modelo 3PL, permitió retirar las preguntas V28 (índice de discriminación mayor 0.65) y V8, V12, V16 y V18 (índice del azar mayores a 0.4). Mientras que todas la preguntas estuvieron dentro del rango permitido para índice de dificultad",Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina||Repositorio institucional - UNALM,Magister Scientiae - Estadística Aplicada
"Menacho Chiok, César Higinio","Aquino Gamboa, Juan Carlos",2019,"En la presente tesis se aplica la regresión logística ordinal, con la finalidad de identificar las variables que mejor explican los rangos de los ingresos de los egresados universitarios del Perú. Para el estudio se usa los datos de la encuesta de egresados universitarios del año 2014 realizada por el INEI. Se ajustan los datos a tres modelos aplicando la regresión logística ordinal con función de enlace logit proporcional acumulativo y para las universidades públicas y privadas. La variable dependiente son los rangos de ingresos (Bajo, Medio, Alto y Muy alto) y los conjuntos de variables independientes agrupadas en cuatro categorías: Grupo A: socio-académicas (7), Grupo B: referidas a la evaluación de las competencias recibidas en la universidad (12), Grupo C: referidas a la importancia de las competencias para su desarrollo profesional (12) y Grupo D: respecto a los profesores de la carrera (5). Para explicar los rangos de los ingresos, la regresión logística ordinal identificó para los tres modelos y para las universidades públicas y privadas, variables significativas socio-académicas: sexo, pertenencia al cuadro de méritos, si obtuvo o no el título profesional, su primer empleo relacionado con la formación profesional. Respecto a la calificación sobre la preparación recibida en la universidad para el desarrollo de las competencias: para coordinar actividades, para los conocimientos básicos de otros campos (públicas) y para el dominio del área de disciplina, el utilizar herramientas informáticas básicas, el utilizar software específico de la carrera (privadas). Respecto a la importancia de las competencias para su experiencia laboral: redactar informes o documentos, tener conocimientos básicos de otros campos o disciplinas (públicas) y rendir bajo presión y cumplir con los objetivos y coordinar actividades (privadas).",Universidad Nacional Agraria La Molina,Repositorio institucional - UNALM||Universidad Nacional Agraria La Molina,Ingeniero Estadístico e Informático
